板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
创业板,深圳市银之杰科技股份有限公司,"SHENZHEN INFOGEM TECHNOLOGIES CO., LTD.",广东省深圳市福田区沙头街道天安社区泰然五路天安数码城天祥大厦10A-1,300085,银之杰,2010-05-26,"706,640,535","531,985,707",,,,0,0,华南,广东,深圳市,I 信息技术,www.yinzhijie.com
创业板,康芝药业股份有限公司,"HONZ PHARMACEUTICAL CO., LTD.",海南省海口国家高新技术产业开发区药谷工业园药谷三路6号,300086,康芝药业,2010-05-26,"450,000,000","435,663,111",,,,0,0,华南,海南,海口市,C 制造业,www.honz.com.cn
创业板,安徽荃银高科种业股份有限公司,"Winall Hi-tech Seed Co.,Ltd.",安徽省合肥市高新区创新大道98号,300087,荃银高科,2010-05-26,"676,665,537","639,932,192",,,,0,0,华东,安徽,合肥市,A 农林牧渔,www.winallseed.com
创业板,芜湖长信科技股份有限公司,"Wuhu Token Sciences Co.,LTD.",安徽省自由贸易试验区芜湖片区汽经二路以东,300088,长信科技,2010-05-26,"2,454,917,133","2,442,689,901",,,,0,0,华东,安徽,芜湖市,C 制造业,www.tokengroup.com
创业板,广东文化长城集团股份有限公司,The Great Wall Of Culture Group Holding Co.，Ltd. Guangdong,广东省潮州市枫溪区蔡陇大道,300089,*ST文化,2010-06-25,"481,056,870","405,626,232",,,,0,0,华南,广东,潮州市,C 制造业,www.thegreatwall-china.com
创业板,金通灵科技集团股份有限公司,"Jin Tong Ling Technology Group Co., Ltd",江苏省南通市钟秀中路135号,300091,金通灵,2010-06-25,"1,489,164,214","1,100,384,935",,,,0,0,华东,江苏,南通市,C 制造业,www.jtltech.cn
创业板,四川科新机电股份有限公司,"Sichuan Kexin Mechanical and Electrical Equipment Co.,Ltd.",四川省什邡市马祖镇,300092,科新机电,2010-07-08,"231,599,000","167,541,985",,,,0,0,西南,四川,德阳市,C 制造业,www.sckxjd.com
创业板,甘肃金刚光伏股份有限公司,"Gansu Jingang Solar Co., Ltd",甘肃省酒泉市肃州区经济技术开发区西园经5路1号创业大厦2楼2-12室,300093,金刚光伏,2010-07-08,"216,000,000","215,329,725",,,,0,0,西北,甘肃,酒泉市,C 制造业,www.golden-glass.com
创业板,湛江国联水产开发股份有限公司,"ZHANJIANG GUOLIAN AQUATIC PRODUCTS CO., LTD",广东省湛江开发区平乐工业区永平南路、广东省湛江吴川市黄坡镇(吴川)华昱产业转移工业园工业大道6号,300094,国联水产,2010-07-08,"1,133,531,253","880,921,461",,,,0,0,华南,广东,湛江市,C 制造业,www.guolian.cn
创业板,江西华伍制动器股份有限公司,"Jiangxi Huawu Brake Co., Ltd.",江西省宜春市丰城市高新技术产业园火炬大道26号,300095,华伍股份,2010-07-28,"420,090,164","336,491,517",,,,0,0,华东,江西,宜春市,C 制造业,www.hua-wu.com
创业板,易联众信息技术股份有限公司,"YLZ Information Technology CO.,Ltd",福建省厦门市软件园二期观日路18号502室,300096,易联众,2010-07-28,"430,000,000","376,520,729",,,,0,0,华东,福建,厦门市,I 信息技术,www.ylzinfo.com
创业板,大连智云自动化装备股份有限公司,"Dalian Zhiyun Automation Co., Ltd",辽宁省大连市甘井子区营日路32号-1,300097,智云股份,2010-07-28,"288,549,669","270,018,948",,,,0,0,东北,辽宁,大连市,C 制造业,www.zhiyun-cn.com
创业板,高新兴科技集团股份有限公司,"Gosuncn technology group Co., Ltd.",广东省广州市黄埔区科学城开创大道2819号六楼,300098,高新兴,2010-07-28,"1,737,782,275","1,539,678,714",,,,0,0,华南,广东,广州市,I 信息技术,www.gosuncn.com
创业板,尤洛卡精准信息工程股份有限公司,"Uroica Precision Information Engineering Co.,LTD",山东省泰安市高新区凤祥路以西规划支路以北,300099,精准信息,2010-08-06,"737,265,255","509,487,063",,,,0,0,华东,山东,泰安市,C 制造业,www.uroica.com.cn
创业板,宁波双林汽车部件股份有限公司,"Ningbo Shuanglin Auto Parts Co.,LTD",浙江省宁波市宁海县西店镇潢溪口,300100,双林股份,2010-08-06,"402,149,793","381,510,260",,,,0,0,华东,浙江,宁波市,C 制造业,www.shuanglin.com
创业板,成都振芯科技股份有限公司,"Chengdu CORPRO Technology Co.,Ltd.",四川省成都市高新区高朋大道1号,300101,振芯科技,2010-08-06,"564,546,000","562,400,365",,,,0,0,西南,四川,成都市,C 制造业,www.corpro.cn
