A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
600398,-,海澜之家,海澜之家,"Hla Group Corp., Ltd.",20001228
600399,-,抚顺特钢,抚顺特钢,"Fushun Special Steel Co.,LTD.",20001229
600400,-,红豆股份,红豆股份,"JIANGSU HONGDOU INDUSTRIAL CO., LTD.",20010108
600403,-,大有能源,大有能源,"Henan Dayou Energy Co., Ltd",20031009
600405,-,动力源,动力源,"Beijing Dynamic Power Co., Ltd",20040401
600406,-,国电南瑞,国电南瑞,"NARI Technology Co., Ltd.",20031016
600408,-,安泰集团,安泰集团,"Shanxi Antai Group Co.,Ltd.",20030212
600409,-,三友化工,三友化工,"Tangshan Sanyou Chemical Industries Co.,Ltd",20030618
600410,-,华胜天成,华胜天成,"Beijing Teamsun Technology Co., Ltd.",20040427
600415,-,小商品城,小商品城,"Zhejiang China Commodities City Group Co.,Ltd",20020509
600416,-,湘电股份,湘电股份,"Xiangtan Electric Manufacturing Co.,Ltd.",20020718
600418,-,江淮汽车,江淮汽车,"Anhui Jianghuai Automobile Group Corp.,Ltd.",20010824
600419,-,天润乳业,天润乳业,"Xinjiang Tianrun Dairy Co.,Ltd.",20010628
600420,-,国药现代,国药现代,"Shanghai Shyndec Pharmaceutical Co., Ltd.",20040616
600421,-,华嵘控股,华嵘控股,"Hubei Huarong Holding Co.,Ltd.",20040607
600422,-,昆药集团,昆药集团,"Kpc Pharmaceuticals,Inc.",20001206
600423,-,柳化股份,柳化股份,"Liuzhou Chemical Industry Co.,Ltd",20030717
600425,-,青松建化,青松建化,"XINJIANG QINGSONG BUILDING MATERIALS AND CHEMICALS (GROUP) CO., LTD.",20030724
600426,-,华鲁恒升,华鲁恒升,"Shandong Hualu-Hengsheng Chemical Co.,Ltd",20020620
600428,-,中远海特,中远海特,"COSCO SHIPPING Specialized Carriers Co., Ltd.",20020418
600429,-,三元股份,三元股份,"Beijing Sanyuan Foods Co.,Ltd.",20030915
600433,-,冠豪高新,冠豪高新,"Guangdong Guanhao High-Tech Co.,Ltd",20030619
600435,-,北方导航,北方导航,"North Navigation Control Technology Co.,Ltd.",20030704
600436,-,片仔癀,片仔癀,"Zhangzhou Pientzehuang Pharmaceutical Co., Ltd",20030616
600438,-,通威股份,通威股份,"Tongwei Co., Ltd.",20040302
600439,-,瑞贝卡,瑞贝卡,"Henan Rebecca Hair Products Co.,Ltd",20030710
600444,-,国机通用,国机通用,"Sinomach General Machinery Science & Technology Co.,Ltd.",20040219
600446,-,金证股份,金证股份,"Shenzhen Kingdom SCI-TECH.,LTD",20031224
600448,-,华纺股份,华纺股份,"Huafang Co.,Ltd",20010903
600449,-,宁夏建材,宁夏建材,"Ningxia Building Materials Group Co.,Ltd",20030829
600452,-,涪陵电力,涪陵电力,"Chongqing Fuling Electric Power Industrial Co.,Ltd.",20040303
600455,-,博通股份,博通股份,"But'one Information Corporation, Xi'an",20040329
600456,-,宝钛股份,宝钛股份,"Baoji Titanium Industry Co.,Ltd.",20020412
600458,-,时代新材,时代新材,"Zhuzhou Times New Material Technology Co.,Ltd",20021219
600459,-,贵研铂业,贵研铂业,"Sino-Platinum Metals Co.,Ltd",20030516
600460,-,士兰微,士兰微,"Hangzhou Silan Microelectronics Co.,Ltd",20030311
600461,-,洪城环境,洪城环境,"Jiangxi Hongcheng Environment Co.,Ltd.",20040601
600462,-,ST九有,ST九有,"Hubei Geoway Investment Co.,Ltd.",20030903
600463,-,空港股份,空港股份,"Beijing Airport High-Tech Park Co.,Ltd.",20040318
600466,-,蓝光发展,蓝光发展,"Sichuan Languang Development Co., Ltd.",20010212
600467,-,好当家,好当家,"Shandong Homey Aquatic Development Co.,Ltd",20040405
600468,-,百利电气,百利电气,"Tianjin Benefo Tejing Electric Co.,Ltd.",20010615
600469,-,风神股份,风神股份,"Aeolus Tyre Co.,Ltd.",20031021
600470,-,六国化工,六国化工,"Anhui Liuguo Chemical Co.,Ltd",20040305
600475,-,华光环能,华光环能,"Wuxi Huaguang Environment & Energy Group Co.,Ltd.",20030721
600476,-,湘邮科技,湘邮科技,"Hunan Copote Science Technology Co.,Ltd.",20031210
600477,-,杭萧钢构,杭萧钢构,"Hangxiao Steel Structure Co.,Ltd",20031110
600478,-,科力远,科力远,"Hunan Corun New Energy Co.,Ltd",20030918
600479,-,千金药业,千金药业,"Zhuzhou Qianjin Pharmaceutical Co.,Ltd",20040312
600480,-,凌云股份,凌云股份,LING YUN INDUSTRIAL CORPORATION LIMITED,20030815
600481,-,双良节能,双良节能,"Shuangliang Eco-Energy Systems Co.,Ltd",20030422
600482,-,中国动力,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd",20040714
600483,-,福能股份,福能股份,"Fujian Funeng Co.,Ltd.",20040531
600486,-,扬农化工,扬农化工,"Jiangsu Yangnong Chemical Co.,Ltd.",20020425
600487,-,亨通光电,亨通光电,"Hengtong Optic-Electric Co.,Ltd",20030822
600488,-,津药药业,津药药业,"TIANJIN TIANYAO PHARMACEUTICALS CO.,LTD.",20010618
600489,-,中金黄金,中金黄金,"Zhongjin Gold Corp., Ltd",20030814
600490,-,鹏欣资源,鹏欣资源,"Pengxin International Mining Co.,Ltd",20030626
600491,-,龙元建设,龙元建设,"Long Yuan Construction Group Co.,Ltd",20040524
600493,-,凤竹纺织,凤竹纺织,"Fujian Fynex Textile Science & Technology Co.,Ltd",20040421
600495,-,晋西车轴,晋西车轴,Jinxi Axle Company Limited,20040526
600496,-,精工钢构,精工钢构,"Changjiang & Jinggong Steel Building (Group) Co.,Ltd",20020605
600497,-,驰宏锌锗,驰宏锌锗,"Yunnan Chihong Zinc&Germanium Co.,Ltd.",20040420
600498,-,烽火通信,烽火通信,"Fiberhome Telecommunication Technologies Co.,Ltd.",20010823
600499,-,科达制造,科达制造,"Keda Industrial Group Co., Ltd.",20021010
600500,-,中化国际,中化国际,Sinochem International Corporation,20000301
600501,-,航天晨光,航天晨光,Aerosun Corporation,20010615
600502,-,安徽建工,安徽建工,Anhui Construction Engineering Group Corporation Limited,20030415
600503,-,华丽家族,华丽家族,"Deluxe Family Co., Ltd.",20020709
600505,-,西昌电力,西昌电力,"Sichuan Xichang Electric Power Co.,Ltd.",20020530
600506,-,香梨股份,香梨股份,"Xinjiang Korla Pear Co.,Ltd",20011226
600507,-,方大特钢,方大特钢,"Fangda Special Steel Technology Co.,Ltd",20030930
600508,-,上海能源,上海能源,"Shanghai Datun Energy Resources Co.,Ltd.",20010829
600509,-,天富能源,天富能源,"Xinjiang Tianfu Energy Co.,Ltd.",20020228
600510,-,黑牡丹,黑牡丹,"Black Peony(Group)Co.,Ltd",20020618
600511,-,国药股份,国药股份,China National Medicines Corporation Ltd.,20021127
600512,-,腾达建设,腾达建设,"Tengda Construction Group Co., Ltd.",20021226
600513,-,联环药业,联环药业,"Jiangsu Lianhuan Pharmaceutical Co.,Ltd.",20030319
600515,-,海南机场,海南机场,"HAINAN AIRPORT INFRASTRUCTURE CO., LTD",20020806
600516,-,方大炭素,方大炭素,"Fangda Carbon New Material Co.,Ltd",20020830
600517,-,国网英大,国网英大,"State Grid Yingda Co.,Ltd.",20031010
600518,-,ST康美,ST康美,"Kangmei Pharmaceutical Co.,Ltd",20010319
600519,-,贵州茅台,贵州茅台,"Kweichow Moutai Co.,Ltd.",20010827
600520,-,文一科技,文一科技,"WenYi Trinity Technology Co.,Ltd",20020108
600521,-,华海药业,华海药业,"Zhejiang Huahai Pharmaceutical Co.,Ltd",20030304
600522,-,中天科技,中天科技,"Jiangsu Zhongtian Technology Co.,Ltd.",20021024
600523,-,贵航股份,贵航股份,"Guizhou Guihang Automotive Components Co.,Ltd",20011227
600525,-,长园集团,长园集团,ChangYuan Technology Group Ltd.,20021202
600526,-,菲达环保,菲达环保,"Zhejiang Feida Enviromental Science & Technology Co.,Ltd.",20020722
600527,-,江南高纤,江南高纤,"Jiangsu Jiangnan High Polymer Fiber Co.,Ltd",20031127
600528,-,中铁工业,中铁工业,China Railway Hi-tech Industry Corporation Limited,20010528
600529,-,山东药玻,山东药玻,"Shandong Pharmaceutical Glass Co.,Ltd",20020603
600530,-,交大昂立,交大昂立,"Shanghai Jiaoda Onlly Co.,Ltd",20010702
600531,-,豫光金铅,豫光金铅,"Henan Yuguang Gold&Lead Co.,Ltd.",20020730
600532,-,*ST未来,*ST未来,"Shanghai Topcare Medical Services Co., Ltd.",20021031
600533,-,栖霞建设,栖霞建设,"Nanjing Chixia Development Co., Ltd.",20020328
600535,-,天士力,天士力,"Tasly Pharmaceutical Group Co.,Ltd.",20020823
600536,-,中国软件,中国软件,China National Software & Service Company Limited,20020517
600537,-,亿晶光电,亿晶光电,"Eging Photovoltaic Technology Co., Ltd.",20030123
600538,-,国发股份,国发股份,"Beihai Gofar Chuanshan Biological Co., Ltd.",20030114
600539,-,狮头股份,狮头股份,"LIONHEAD TECHNOLOGY DEVELOPMENT CO.,LTD.",20010824
600540,-,新赛股份,新赛股份,"XINJIANG SAYRAM MODERN AGRICULTURE CO.,LTD",20040107
600543,-,莫高股份,莫高股份,"Gansu Mogao Industrial Development Co.,Ltd.",20040324
600545,-,卓郎智能,卓郎智能,Saurer Intelligent Technology Co. Ltd.,20031203
600546,-,山煤国际,山煤国际,"Shanxi Coal International Energy Group Co., Ltd",20030731
600547,-,山东黄金,山东黄金,"Shandong Gold Mining Co.,Ltd.",20030828
600548,-,深高速,深高速,SHENZHEN EXPRESSWAY CORPORATION LIMITED,20011225
600549,-,厦门钨业,厦门钨业,"Xiamen Tungsten Co.,Ltd.",20021107
600550,-,保变电气,保变电气,"Baoding Tianwei Baobian Electric Co.,Ltd.",20010228
600551,-,时代出版,时代出版,"Time Publishing and Media Co., Ltd.",20020905
600552,-,凯盛科技,凯盛科技,"Triumph Science & Technology Co., Ltd",20021108
600556,-,天下秀,天下秀,"Inmyshow Digital Technology (Group) Co., Ltd.",20010807
600557,-,康缘药业,康缘药业,"Jiangsu Kanion Pharmaceutical Co.,Ltd.",20020918
600558,-,大西洋,大西洋,"Atlantic China Welding Consumables,Inc.",20010227
600559,-,老白干酒,老白干酒,"Hebei Hengshui Laobaigan Liquor Co.,Ltd.",20021029
600560,-,金自天正,金自天正,"Beijing Aritime Intelligent Control Co., Ltd.",20020919
600561,-,江西长运,江西长运,"Jiangxi Changyun Co.,Ltd.",20020716
600562,-,国睿科技,国睿科技,"GLARUN TECHNOLOGY CO.,LTD",20030128
600563,-,法拉电子,法拉电子,"Xiamen Faratronic Co.,Ltd.",20021210
600565,-,迪马股份,迪马股份,"DIMA HOLDINGS Co.,Ltd.",20020723
600566,-,济川药业,济川药业,"Hubei Jumpcan Pharmaceutical Co., Ltd.",20010822
600567,-,山鹰国际,山鹰国际,"Shanying International Holdings Co., Ltd.",20011218
600568,-,ST中珠,ST中珠,"ZhongZhu Healthcare Holding Co.,Ltd",20010518
600569,-,安阳钢铁,安阳钢铁,"ANYANG IRON AND STEEL CO., LTD.",20010820
600570,-,恒生电子,恒生电子,Hundsun Technologies Inc.,20031216
600571,-,信雅达,信雅达,"Sunyard Technology Co.,Ltd",20021101
600572,-,康恩贝,康恩贝,"Zhejiang CONBA Pharmaceutical Co.,Ltd.",20040412
600573,-,惠泉啤酒,惠泉啤酒,"Fujian Yanjing Huiquan Brewery Co.,Ltd",20030226
600575,-,淮河能源,淮河能源,"Huaihe Energy (Group) Co.,Ltd",20030328
600576,-,祥源文旅,祥源文旅,"ZHEJIANG SUNRIVER CULTURE TOURISM CO.,LTD",20030220
600577,-,精达股份,精达股份,"Tongling Jingda Special Magnet Wire Co.,Ltd",20020911
600578,-,京能电力,京能电力,"Beijing Jingneng Power Co., Ltd.",20020510
600579,-,克劳斯,克劳斯,KraussMaffei Company Limited.,20020809
600580,-,卧龙电驱,卧龙电驱,"Wolong Electric Group Co.,Ltd.",20020606
600581,-,八一钢铁,八一钢铁,"Xinjiang Ba Yi Iron & Steel Co.,Ltd.",20020816
600582,-,天地科技,天地科技,"Tian Di Science & Technology Co.,Ltd",20020515
600583,-,海油工程,海油工程,"Offshore Oil Engineering Co.,Ltd.",20020205
600584,-,长电科技,长电科技,"JCET Group Co., Ltd.",20030603
600585,-,海螺水泥,海螺水泥,Anhui Conch Cement Company Limited,20020207
600586,-,金晶科技,金晶科技,"Shandong Jinjing Science & Technology Stock Co.,Ltd",20020815
600587,-,新华医疗,新华医疗,"Shinva Medical Instrument Co.,Ltd.",20020927
600588,-,用友网络,用友网络,"Yonyou Network Technology Co., Ltd.",20010518
600589,-,ST榕泰,ST榕泰,"Guangdong Rongtai Industry Co.,Ltd",20010612
600590,-,泰豪科技,泰豪科技,"Tellhow Sci-Tech Co.,Ltd",20020703
600592,-,龙溪股份,龙溪股份,"Fujian Longxi Bearing(Group)Co.,Ltd",20020805
600593,-,大连圣亚,大连圣亚,"Dalian Sunasia Tourism Holding Co.,Ltd",20020711
600594,-,益佰制药,益佰制药,"Guizhou Yibai Pharmaceutical Co.,Ltd",20040323
600595,-,中孚实业,中孚实业,"Henan Zhongfu Industrial Co.,Ltd",20020626
600596,-,新安股份,新安股份,"Zhejiang Xinan Chemical Industrial Group Co.,Ltd",20010906
600597,-,光明乳业,光明乳业,"BRIGHT DAIRY & FOOD CO.,LTD",20020828
600598,-,北大荒,北大荒,Heilongjiang Agriculture Company Limited,20020329
600599,-,ST熊猫,ST熊猫,"Panda Financial Holding Corp., Ltd.",20010828
600600,-,青岛啤酒,青岛啤酒,Tsingtao Brewery Company Limited,19930827
600601,-,*ST方科,*ST方科,"Founder Technology Group Co., Ltd.",19901219
600602,900901,云赛智联,云赛智联,INESA Intelligent Tech Inc.,19901219
600603,-,广汇物流,广汇物流,"Guanghui Logistics Co., Ltd",19920113
600604,900902,市北高新,市北高新,"Shanghai Shibei Hi-Tech Co.,Ltd.",19920327
600605,-,汇通能源,汇通能源,"SHANGHAI HUITONG ENERGY CO.,LTD.",19920327
600606,-,绿地控股,绿地控股,Greenland Holdings Corporation Limited,19920327
600608,-,ST沪科,ST沪科,"Shanghai Broadband Technology Co.,Ltd",19920327
600609,-,金杯汽车,金杯汽车,Shenyang Jinbei Automotive Company Limited,19920724
600610,900906,中毅达,中毅达,"GUIZHOU ZHONGYIDA CO., LTD.",19920805
600611,900903,大众交通,大众交通,"DAZHONG TRANSPORTATION(GROUP)CO.,LTD.",19920807
600612,900905,老凤祥,老凤祥,"Lao Feng Xiang Co.,Ltd.",19920814
600613,900904,神奇制药,神奇制药,"Shanghai Shenqi Pharmaceutical Investment Management Co.,Ltd.",19920820
600615,-,丰华股份,丰华股份,"CHONGQING FENGHWA GROUP CO.,LTD",19920910
600616,-,金枫酒业,金枫酒业,Shanghai Jinfeng Wine Company Limited,19920929
600617,900913,国新能源,国新能源,Shanxi Guoxin Energy Corporation Limited,19921013
600618,900908,氯碱化工,氯碱化工,"Shanghai Chlor-Alkali Chemical Co.,Ltd",19921113
600619,900910,海立股份,海立股份,"Shanghai Highly (Group) Co., Ltd.",19921116
600620,-,天宸股份,天宸股份,"Shanghai Tianchen Co.,Ltd.",19921117
600621,-,华鑫股份,华鑫股份,"SHANGHAI CHINAFORTUNE CO., LTD",19921202
600622,-,光大嘉宝,光大嘉宝,"Everbright Jiabao Co., Ltd.",19921203
600623,900909,华谊集团,华谊集团,Shanghai Huayi Group Corporation Limited,19921204
600624,-,复旦复华,复旦复华,"SHANGHAI FUDAN FORWARD S&T CO., LTD.",19930105
600626,-,申达股份,申达股份,"Shanghai Shenda Co.,Ltd",19930107
600628,-,新世界,新世界,"SHANGHAI NEW WORLD CO.,LTD",19930119
600629,-,华建集团,华建集团,Arcplus Group Plc,19930209
600630,-,龙头股份,龙头股份,Shanghai Dragon Corporation,19930209
600633,-,浙数文化,浙数文化,"ZHEJIANG DAILY DIGITAL CULTURE GROUP CO.,LTD",19930304
600635,-,大众公用,大众公用,"Shanghai Dazhong Public Utilities(Group)Co.,Ltd.",19930304
600636,-,国新文化,国新文化,"China Reform Culture Holdings Co., Ltd",19930316
600637,-,东方明珠,东方明珠,"Oriental Pearl Group Co., Ltd.",19930316
600638,-,新黄浦,新黄浦,"Shanghai New Huang Pu Industrial Group Co.,Ltd.",19930326
600639,900911,浦东金桥,浦东金桥,"Shanghai Jinqiao Export Processing Zone Development Co.,Ltd",19930326
600640,-,国脉文化,国脉文化,"New Guomai Digital Culture Co., Ltd",19930407
600641,-,万业企业,万业企业,"Shanghai Wanye Enterprises Co.,Ltd",19930407
600642,-,申能股份,申能股份,Shenergy Company Limited,19930416
600643,-,爱建集团,爱建集团,"Shanghai AJ Group Co.,Ltd.",19930426
600644,-,乐山电力,乐山电力,"Leshan Electric Power Co.,Ltd",19930426
600645,-,中源协和,中源协和,"Vcanbio Cell & Gene Engineering Corp., Ltd",19930504
600647,-,同达创业,同达创业,"Shanghai Tongda Venture Capital Co., Ltd.",19930504
600648,900912,外高桥,外高桥,"Shanghai Waigaoqiao Free Trade Zone Group Co., Ltd.",19930504
600649,-,城投控股,城投控股,"Shanghai Chengtou Holding Co.,Ltd",19930518
600650,900914,锦江在线,锦江在线,"Shanghai Jin Jiang Online Network Service Co., Ltd.",19930607
600651,-,飞乐音响,飞乐音响,"Shanghai Feilo Acoustics Co.,Ltd",19901219
600653,-,申华控股,申华控股,"Liaoning Shenhua Holdings Co., Ltd",19901219
600654,-,*ST中安,*ST中安,"China Security Co., Ltd",19901219
600655,-,豫园股份,豫园股份,"Shanghai Yuyuan Tourist Mart( Group) Co., Ltd.",19920902
600657,-,信达地产,信达地产,"Cinda Real Estate Co.,Ltd.",19930524
600658,-,电子城,电子城,"Beijing Electronic Zone High-tech Group Co., Ltd.",19930524
600660,-,福耀玻璃,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd.",19930610
600661,-,昂立教育,昂立教育,"Shanghai Xinnanyang Only Education & Technology Co., Ltd",19930614
600662,-,外服控股,外服控股,"SHANGHAI FOREIGN SERVICE HOLDING GROUP CO., LTD.",19930614
600663,900932,陆家嘴,陆家嘴,"Shanghai Lujiazui Finance & Trade Zone Development Co.,Ltd.",19930628
600664,-,哈药股份,哈药股份,"Harbin Pharmaceutical Group Co.,Ltd.",19930629
600665,-,天地源,天地源,"Tande Co.,Ltd.",19930709
600666,-,*ST瑞德,*ST瑞德,"Aurora Optoelectronics Co., Ltd.",19930712
600667,-,太极实业,太极实业,Wuxi Taiji Industry Limited Corporation,19930728
600668,-,尖峰集团,尖峰集团,"Zhe Jiang Jian Feng Group Co.,Ltd",19930728
600671,-,ST目药,ST目药,"Hangzhou Tianmushan Pharmaceutical Enterprise Co.,Ltd",19930823
600673,-,东阳光,东阳光,"Guangdong Hec Technology Holding Co., Ltd",19930917
600674,-,川投能源,川投能源,"Sichuan Chuantou Energy Co.,Ltd.",19930924
600675,-,中华企业,中华企业,China Enterprise Company Limited,19930924
600676,-,交运股份,交运股份,"Shanghai Jiao Yun Group Co., Ltd.",19930928
600678,-,四川金顶,四川金顶,"Sichuan Golden Summit(Group)Joint-Stock Co.,Ltd",19931008
600679,900916,上海凤凰,上海凤凰,"Shanghai Phoenix Enterprise (Group) Co., Ltd.",19931008
600681,-,百川能源,百川能源,"Bestsun Energy Co., Ltd.",19931018
600682,-,南京新百,南京新百,"NANJING XINJIEKOU DEPARTMENT STORE CO.,LTD.",19931018
600683,-,京投发展,京投发展,Metro Land Corporation Ltd.,19931025
600684,-,珠江股份,珠江股份,"GUANGZHOU PEARL RIVER DEVELOPMENT GROUP CO.,LTD.",19931028
600685,-,中船防务,中船防务,CSSC Offshore & Marine Engineering (Group) Company Limited,19931028
600686,-,金龙汽车,金龙汽车,"Xiamen King Long Motor Group Co.,Ltd.",19931108
600688,-,上海石化,上海石化,Sinopec Shanghai Petrochemical Company Limited,19931108
600689,900922,上海三毛,上海三毛,"Shanghai Sanmao Enterprise(Group) Co., Ltd.",19931108
600690,-,海尔智家,海尔智家,"Haier Smart Home Co., Ltd.",19931119
600691,-,阳煤化工,阳煤化工,"Yangmei Chemical Co.,Ltd",19931119
600692,-,亚通股份,亚通股份,"Shanghai Ya Tong Co.,Ltd.",19931119
600693,-,东百集团,东百集团,"Fujian Dongbai (Group)Co.,Ltd.",19931122
600694,-,大商股份,大商股份,"Dashang Co.,Ltd.",19931122
600696,-,岩石股份,岩石股份,"Shanghai Guijiu Co., Ltd",19931206
600697,-,欧亚集团,欧亚集团,"Chang Chun Eurasia Group Co.,Ltd",19931206
600698,900946,湖南天雁,湖南天雁,"Hunan Tyen Machinery Co., Ltd",19931206
600699,-,均胜电子,均胜电子,Ningbo Joyson Electronic Corp.,19931206
600702,-,舍得酒业,舍得酒业,"Shede Spirits Co., Ltd.",19960524
600703,-,三安光电,三安光电,"Sanan Optoelectronics Co.,Ltd",19960528
600704,-,物产中大,物产中大,"Wuchan Zhongda Group Co.,Ltd.",19960606
600705,-,中航产融,中航产融,"Avic Industry-Finance Holdings Co.,Ltd.",19960516
600706,-,曲江文旅,曲江文旅,"Xi'an Qujiang Cultural Tourism Co.,Ltd",19960516
600707,-,彩虹股份,彩虹股份,"Caihong Display Devices Co.,Ltd",19960520
600708,-,光明地产,光明地产,"Bright Real Estate Group Co.,Limited",19960606
600710,-,苏美达,苏美达,Sumec Corporation Limited,19960701
600711,-,盛屯矿业,盛屯矿业,"Chengtun Mining Group Co., Ltd",19960531
600712,-,南宁百货,南宁百货,"Nanning Department Store Co.,Ltd.",19960626
600713,-,南京医药,南京医药,Nanjing Pharmaceutical Company Limited,19960701
600714,-,金瑞矿业,金瑞矿业,"Qinghai Jinrui Mineral Development Co.,Ltd",19960606
600715,-,文投控股,文投控股,"Cultural Investment Holdings Co.,Ltd",19960701
600716,-,凤凰股份,凤凰股份,Jiangsu Phoenix Property Investment Company Limited,19960702
600717,-,天津港,天津港,"Tianjin Port Co.,Ltd",19960614
600718,-,东软集团,东软集团,Neusoft Corporation,19960618
600719,-,ST热电,ST热电,"Dalian Thermal Power Co.,Ltd.",19960716
600720,-,祁连山,祁连山,"Gansu Qilianshan Cement Group Co.,Ltd.",19960716
600721,-,百花医药,百花医药,"XINJIANG BAI HUA CUN PHARMA TECH CO.,LTD",19960626
600722,-,金牛化工,金牛化工,"Hebei Jinniu Chemical Industry Co.,Ltd",19960626
600724,-,宁波富达,宁波富达,Ningbo Fuda Company Limited,19960716
600725,-,云维股份,云维股份,Yunnan Yunwei Company Limited,19960702
600726,900937,*ST华源,*ST华源,Huadian Energy Company Limited,19960701
600727,-,鲁北化工,鲁北化工,"Shandong Lubei Chemical Co.,Ltd",19960702
600728,-,佳都科技,佳都科技,"Pci Technology Group Co.,Ltd.",19960716
600729,-,重庆百货,重庆百货,"Chongqing Department Store Co.,Ltd.",19960702
600730,-,中国高科,中国高科,"China Hi-Tech Group Co.,Ltd",19960726
600731,-,湖南海利,湖南海利,"Hunan Haili Chemical Industry Co.,Ltd",19960802
600732,-,爱旭股份,爱旭股份,"Shanghai Aiko Solar Energy Co., Ltd.",19960816
600733,-,北汽蓝谷,北汽蓝谷,"BAIC BluePark New Energy Technology Co.,Ltd.",19960816
600734,-,ST实达,ST实达,"Fujian Start Group Co.,Ltd",19960808
600735,-,新华锦,新华锦,"Shandong Hiking International Co.,Ltd",19960726
600736,-,苏州高新,苏州高新,"Suzhou New District Hi-Tech Industrial Co.,Ltd",19960815
600737,-,中粮糖业,中粮糖业,"Cofco Sugar Holding Co.,Ltd",19960731
600738,-,丽尚国潮,丽尚国潮,"Lanzhoulishang Guochao Industrial Group Co.,Ltd",19960802
600739,-,辽宁成大,辽宁成大,"Liaoning Cheng Da Co.,Ltd.",19960819
600740,-,山西焦化,山西焦化,"ShanXi Coking Co.,Ltd",19960808
600741,-,华域汽车,华域汽车,HUAYU Automotive Systems Company Limited,19960826
600742,-,一汽富维,一汽富维,"Changchun FAWAY Automobile Components Co., Ltd",19960826
600743,-,华远地产,华远地产,"Hua Yuan Property Co.,Ltd.",19960909
600744,-,华银电力,华银电力,"Datang Huayin Electric Power Co.,Ltd",19960905
600745,-,闻泰科技,闻泰科技,"Wingtech Technology Co.,Ltd",19960828
600746,-,江苏索普,江苏索普,"Jiangsu SOPO Chemical Co.,Ltd.",19960918
600748,-,上实发展,上实发展,"Shanghai Industrial Development Co.,Ltd",19960925
600749,-,西藏旅游,西藏旅游,"Tibet Tourism Co.,Ltd.",19961015
600750,-,江中药业,江中药业,"JIANG ZHONG PHARMACEUTICAL CO.,LTD.",19960923
600751,900938,海航科技,海航科技,"HNA Technology Co.,Ltd.",19960909
600753,-,东方银星,东方银星,Fujian Oriental Silver Star Investment Co.Ltd,19960927
600754,900934,锦江酒店,锦江酒店,"Shanghai Jin Jiang International Hotels Co.,Ltd.",19961011
600755,-,厦门国贸,厦门国贸,"Xiamen ITG Group Corp.,Ltd",19961003
600756,-,浪潮软件,浪潮软件,"Inspur Software Co.,Ltd.",19960923
600757,-,长江传媒,长江传媒,"Changjiang Publishing & Media Co.,Ltd",19961003
600758,-,辽宁能源,辽宁能源,"Liaoning Energy Industry Co.,Ltd",19961029
600759,-,ST洲际,ST洲际,Geo-Jade Petroleum Corporation,19961008
600760,-,中航沈飞,中航沈飞,Avic Shenyang Aircraft Company Limited,19961011
600761,-,安徽合力,安徽合力,"Anhui Heli Co., Ltd.",19961009
600763,-,通策医疗,通策医疗,"Topchoice Medical Co.,Inc.",19961030
600764,-,中国海防,中国海防,China Marine Information Electronics Company Limited,19961104
600765,-,中航重机,中航重机,"Avic Heavy Machinery Co.,Ltd.",19961106
600766,-,园城黄金,园城黄金,"Yantai Yuancheng Gold Co.,Ltd",19961028
600767,-,*ST运盛,*ST运盛,"Winsan(Chengdu) Medical Science and Technology Co.,Ltd.",19961115
600768,-,宁波富邦,宁波富邦,"Ningbo Fubang Jingye Group Co.,Ltd",19961111
600769,-,祥龙电业,祥龙电业,"Wuhan Xianglong Power Industry Co.,Ltd",19961101
600770,-,综艺股份,综艺股份,"Jiangsu Zongyi Co.,Ltd.",19961120
600771,-,广誉远,广誉远,"Guangyuyuan Chinese Herbal Medicine Co.,Ltd.",19961105
600773,-,西藏城投,西藏城投,"Tibet Urban Development and Investment Co.,Ltd",19961108
600774,-,汉商集团,汉商集团,"Hanshang Group Co.,Ltd.",19961108
600775,-,南京熊猫,南京熊猫,Nanjing Panda Electronics Company Limited,19961118
600776,900941,东方通信,东方通信,"Eastern Communications Co.,Ltd.",19961126
600777,-,新潮能源,新潮能源,Shandong Xinchao Energy Corporation Limited,19961121
600778,-,友好集团,友好集团,"Xinjiang Youhao(Group)Co.,Ltd",19961203
600779,-,水井坊,水井坊,"Sichuan Swellfun Co., Ltd.",19961206
600780,-,通宝能源,通宝能源,Top Energy Company Ltd.Shanxi,19961205
600781,-,*ST辅仁,*ST辅仁,"FUREN Group Pharmaceutical Co., Ltd.",19961218
600782,-,新钢股份,新钢股份,"Xinyu Iron & Steel Co.,Ltd",19961225
600783,-,鲁信创投,鲁信创投,"Luxin Venture Capital Group Co.,Ltd.",19961225
600784,-,鲁银投资,鲁银投资,"Luyin Investment Group Co.,Ltd.",19961225
600785,-,新华百货,新华百货,"Yinchuan Xinhua Commercial (Group) Co.,Ltd.",19970108
600787,-,中储股份,中储股份,"CMST Development Co.,Ltd.",19970121
600789,-,鲁抗医药,鲁抗医药,"Shandong Lukang Pharmaceutical Co.,Ltd.",19970226
600790,-,轻纺城,轻纺城,"Zhejiang China Light&Textile Industrial City Group Co.,Ltd",19970228
600791,-,京能置业,京能置业,"Beh-Property Co.,Ltd",19970130
600792,-,云煤能源,云煤能源,"Yunnan Coal & Energy Co.,Ltd.",19970123
600793,-,宜宾纸业,宜宾纸业,"Yibin Paper Industry Co.,Ltd",19970220
