A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
600104,-,上汽集团,上汽集团,SAIC Motor Corporation Limited,19971125
600105,-,永鼎股份,永鼎股份,Jiangsu Etern Company Limited,19970929
600106,-,重庆路桥,重庆路桥,"Chongqing Road&Bridge Co.,Ltd",19970618
600107,-,美尔雅,美尔雅,"Hubei Mailyard Share Co.,Ltd",19971106
600108,-,亚盛集团,亚盛集团,"Gansu Yasheng Industrial (Group) Co.,Ltd",19970818
600109,-,国金证券,国金证券,"Sinolink Securities Co., Ltd.",19970807
600110,-,诺德股份,诺德股份,"NUODE NEW MATERIALS CO.,LTD.",19971007
600111,-,北方稀土,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",19970924
600112,-,ST天成,ST天成,"Guizhou Changzheng Tiancheng Holding Co.,Ltd.",19971127
600113,-,浙江东日,浙江东日,Zhejiang Dong Ri Limited Company,19971021
600114,-,东睦股份,东睦股份,"NBTM New Materials Group Co., Ltd.",20040511
600115,-,中国东航,中国东航,China Eastern Airlines Corporation Limited,19971105
600116,-,三峡水利,三峡水利,"Chongqing Three Gorges Water Conservancy and Electric Power Co.,Ltd.",19970804
600117,-,西宁特钢,西宁特钢,"Xining Special Steel Co.,Ltd",19971015
600118,-,中国卫星,中国卫星,"China Spacesat Co.,Ltd.",19970908
600119,-,长江投资,长江投资,"Y.U.D.Yangtze River Investment Industry Co.,Ltd.",19980115
600120,-,浙江东方,浙江东方,"Zhejiang Orient Financial Holdings Group Co.,Ltd.",19971201
600121,-,郑州煤电,郑州煤电,"Zhengzhou Coal Industry & Electric Power Co.,Ltd.",19980107
600122,-,ST宏图,ST宏图,"Jiangsu Hongtu High Technology Co.,Ltd.",19980420
600123,-,兰花科创,兰花科创,"Shanxi Lanhua Sci-Tech Venture Co.,Ltd",19981217
600125,-,铁龙物流,铁龙物流,"China Railway Tielong Container Logistics Co.,Ltd",19980511
600126,-,杭钢股份,杭钢股份,"Hang Zhou Iron & Steel Co.,Ltd.",19980311
600127,-,金健米业,金健米业,"Jinjian Cereals Industry Co.,Ltd.",19980506
600128,-,弘业股份,弘业股份,Jiangsu Holly Corporation,19970901
600129,-,太极集团,太极集团,"Chongqing Taiji Industry (Group) Co.,Ltd.",19971118
600130,-,波导股份,波导股份,"Ningbo Bird Co.,Ltd.",20000706
600131,-,国网信通,国网信通,"State Grid Information&Telecommunication Co.,Ltd.",19980402
